target-word,block,transparency,vot_step,video
BARK-PARK,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_1-w-audio.mp4
BARK-PARK,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_2-w-audio.mp4
BARK-PARK,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_3-w-audio.mp4
BARK-PARK,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_4-w-audio.mp4
BARK-PARK,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_5-w-audio.mp4
BARK-PARK,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_6-w-audio.mp4
BARK-PARK,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_7-w-audio.mp4
BARK-PARK,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_8-w-audio.mp4
BARK-PARK,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/Travis_BARK-PARK_VOT_9-w-audio.mp4
DART-TART,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_1-w-audio.mp4
DART-TART,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_2-w-audio.mp4
DART-TART,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_3-w-audio.mp4
DART-TART,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_4-w-audio.mp4
DART-TART,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_5-w-audio.mp4
DART-TART,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_6-w-audio.mp4
DART-TART,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_7-w-audio.mp4
DART-TART,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_8-w-audio.mp4
DART-TART,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/Travis_DART-TART_VOT_9-w-audio.mp4
GUARD-CARD,baseline,na,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_1-w-audio.mp4
GUARD-CARD,baseline,na,2,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_2-w-audio.mp4
GUARD-CARD,baseline,na,3,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_3-w-audio.mp4
GUARD-CARD,baseline,na,4,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_4-w-audio.mp4
GUARD-CARD,baseline,na,5,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_5-w-audio.mp4
GUARD-CARD,baseline,na,6,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_6-w-audio.mp4
GUARD-CARD,baseline,na,7,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_7-w-audio.mp4
GUARD-CARD,baseline,na,8,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_8-w-audio.mp4
GUARD-CARD,baseline,na,9,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/Travis_GUARD-CARD_VOT_9-w-audio.mp4
